iter	Passed	Remaining
0	1197	1196663
1	2231	1113461
2	3534	1174581
3	4893	1218362
4	6266	1247032
5	7482	1239657
6	8684	1231994
7	9998	1239827
8	11521	1268610
9	13015	1288527
10	14520	1305520
11	16283	1340707
12	17792	1350887
13	19274	1357462
14	20615	1353757
15	22093	1358725
16	23382	1352042
17	24595	1341836
18	25912	1337904
19	27602	1352543
20	28847	1344829
21	30120	1338998
22	31425	1334909
23	32675	1328786
24	33831	1319421
25	35061	1313469
26	36372	1310774
27	37818	1312843
28	39622	1326666
29	42414	1371397
30	45230	1413826
31	46806	1415905
32	48324	1416055
33	49827	1415690
34	51185	1411245
35	52679	1410642
36	54138	1409064
37	55380	1401997
38	56660	1396168
39	58479	1403509
40	60138	1406664
41	62755	1431425
42	65141	1449786
43	66817	1451752
44	68123	1445738
45	69447	1440283
46	70698	1433532
47	71866	1425347
48	73024	1417273
49	74151	1408874
50	75298	1401151
51	76433	1393448
52	77553	1385726
53	78697	1378669
54	79802	1371152
55	80962	1364797
56	82145	1358996
57	83236	1351877
58	84350	1345325
59	85550	1340298
60	86725	1335002
61	87974	1330969
62	89153	1325982
63	90330	1321079
64	91755	1319872
65	93251	1319643
66	94676	1318403
67	96550	1323310
68	98363	1327192
69	99728	1324963
70	101147	1323461
71	102748	1324308
72	104139	1322431
73	105455	1319614
74	106662	1315510
75	107819	1310859
76	109293	1310105
77	110498	1306148
78	111698	1302206
79	112929	1298694
80	114029	1293740
81	115262	1290378
82	116872	1291233
83	118472	1291910
84	120059	1292405
85	122110	1297777
86	124387	1305350
87	126710	1313181
88	128353	1313823
89	129701	1311429
90	131451	1313066
91	132849	1311164
92	134221	1309017
93	135621	1307162
94	136892	1304085
95	139094	1309802
96	140767	1310442
97	142107	1307971
98	143669	1307535
99	146389	1317501
100	148478	1321605
101	150870	1328247
102	152804	1330731
103	154427	1330450
104	155822	1328204
105	157425	1327719
106	158859	1325804
107	160410	1324868
108	162606	1329198
109	163991	1326838
110	165700	1327100
111	167685	1329508
112	169649	1331674
113	170996	1328971
114	173249	1333266
115	174733	1331586
116	176249	1330154
117	177808	1329044
118	179854	1331524
119	181584	1331617
120	183290	1331503
121	185025	1331577
122	186820	1332048
123	188289	1330170
124	189619	1327333
125	190985	1324772
126	192347	1322201
127	193562	1318641
128	194800	1315282
129	196079	1312223
130	197178	1308003
131	198262	1303725
132	199532	1300712
133	200741	1297326
134	202056	1294658
135	203287	1291471
136	204596	1288806
137	207082	1293515
138	208602	1292135
139	209784	1288673
140	211382	1287783
141	213576	1290481
142	215406	1290933
143	217041	1290192
144	218494	1288363
145	220540	1290010
146	223024	1294147
147	224411	1291881
148	225781	1289531
149	227054	1286641
150	228266	1283429
151	229495	1280343
152	231123	1279489
153	232731	1278512
154	234238	1276977
155	235669	1275033
156	237304	1274188
157	238498	1270988
158	239738	1268052
159	240952	1264999
160	242105	1261656
161	243628	1260251
162	245020	1258174
163	246267	1255364
164	247419	1252091
165	248549	1248736
